Designator,Mid X,Mid Y,Layer,Rotation
C1  8.41 16.46 270 10uF 0805,8.41,16.46,Top,270
C2  3.05  9.65 270 2.2uF 0603,3.05,9.65,Top,270
C3 11.05 16.51  90 10nF 0603,11.05,16.51,Top,90
C4 36.83 16.51 270 10uF 0805,36.83,16.51,Top,270
C5 17.27  9.91 270 2.2uF 0603,17.27,9.91,Top,270
C6 25.27 16.51  90 10nF 0603,25.27,16.51,Top,90
C8 31.62  9.78 270 2.2uF 0603,31.62,31.62,Top,270
C9 39.37 16.64  90 10nF 0603,39.37,16.64,Top,90
C10 22.50 16.56 270 10uF 0805,22.5,16.56,Top,270
DRV8833PWP1  7.49  9.65  90  SOP65P640X120-17N,7.49,9.65,Top,90
DRV8833PWP2 21.72  9.65  90  SOP65P640X120-17N,21.72,9.65,Top,90
DRV8833PWP3 35.81  9.65  90  SOP65P640X120-17N,35.81,9.65,Top,90
IC1 10.67 26.67   0 74HC595D SO16,10.67,26.67,Top,0
IC2 35.56 26.67   0 74HC595D SO16,35.56,26.67,Top,0
IC3 22.99 24.67   0 L78LXXCU/BU SOT89,22.99,24.67,Top,0
R1 15.11  6.22   0 0.22 0805,15.11,6.22,Top,0
R2 29.08  5.97   0 0.22 0805,29.08,5.97,Top,0
R3 43.94  5.97   0 0.22 0805,43.94,5.97,Top,0
